[provider] zai-captcha-provider (JSDOM/execFile) listening on http://127.0.0.1:9876
[provider] captcha token pool: 5, TTL: 240000ms (老路径 /token，按需启用)
[chat-proxy] warming 2 JSDOM windows...
[chat-proxy] window pool ready
[chat-proxy][onprogress +390ms] +90 bytes
[chat-proxy][onprogress +458ms] +87 bytes
[chat-proxy][onprogress +72ms] +91 bytes
[chat-proxy][onprogress +253ms] +89 bytes
[chat-proxy][onprogress +390ms] +91 bytes
[chat-proxy][onprogress +188ms] +87 bytes
[chat-proxy][onprogress +115ms] +90 bytes
[chat-proxy][onprogress +72ms] +89 bytes
[chat-proxy][onprogress +0ms] +89 bytes
[chat-proxy][onprogress +406ms] +92 bytes
[chat-proxy][onprogress +11ms] +89 bytes
[chat-proxy][onprogress +6ms] +92 bytes
[chat-proxy][onprogress +115ms] +87 bytes
[chat-proxy][onprogress +124ms] +93 bytes
[chat-proxy][onprogress +88ms] +90 bytes
[chat-proxy][onprogress +113ms] +93 bytes
[chat-proxy][onprogress +89ms] +88 bytes
[chat-proxy][onprogress +202ms] +92 bytes
[chat-proxy][onprogress +95ms] +90 bytes
[chat-proxy][onprogress +62ms] +93 bytes
[chat-proxy][onprogress +176ms] +88 bytes
[chat-proxy][onprogress +179ms] +87 bytes
[chat-proxy][onprogress +86ms] +86 bytes
[chat-proxy][onprogress +179ms] +86 bytes
[chat-proxy][onprogress +163ms] +178 bytes
[chat-proxy][onprogress +149ms] +94 bytes
[chat-proxy][onprogress +82ms] +90 bytes
[chat-proxy][onprogress +258ms] +92 bytes
[chat-proxy][onprogress +79ms] +88 bytes
[chat-proxy][onprogress +167ms] +92 bytes
[chat-proxy][onprogress +106ms] +91 bytes
[chat-proxy][onprogress +72ms] +88 bytes
[chat-proxy][onprogress +91ms] +177 bytes
[chat-proxy][onprogress +141ms] +88 bytes
[chat-proxy][onprogress +18ms] +87 bytes
[chat-proxy][onprogress +78ms] +89 bytes
[chat-proxy][onprogress +185ms] +173 bytes
[chat-proxy][onprogress +92ms] +88 bytes
[chat-proxy][onprogress +48ms] +88 bytes
[chat-proxy][onprogress +200ms] +91 bytes
[chat-proxy][onprogress +106ms] +88 bytes
[chat-proxy][onprogress +93ms] +90 bytes
[chat-proxy][onprogress +184ms] +88 bytes
[chat-proxy][onprogress +21ms] +88 bytes
[chat-proxy][onprogress +57ms] +90 bytes
[chat-proxy][onprogress +134ms] +94 bytes
[chat-proxy][onprogress +403ms] +92 bytes
[chat-proxy][onprogress +13ms] +90 bytes
[chat-proxy][onprogress +14ms] +93 bytes
[chat-proxy][onprogress +23ms] +87 bytes
[chat-proxy][onprogress +145ms] +88 bytes
[chat-proxy][onprogress +1ms] +89 bytes
[chat-proxy][onprogress +134ms] +87 bytes
[chat-proxy][onprogress +70ms] +87 bytes
[chat-proxy][onprogress +82ms] +92 bytes
[chat-proxy][onprogress +84ms] +89 bytes
[chat-proxy][onprogress +82ms] +87 bytes
[chat-proxy][onprogress +68ms] +87 bytes
[chat-proxy][onprogress +178ms] +87 bytes
[chat-proxy][onprogress +12ms] +91 bytes
[chat-proxy][onprogress +525ms] +84 bytes
[chat-proxy][onprogress +7ms] +91 bytes
[chat-proxy][onprogress +18ms] +89 bytes
[chat-proxy][onprogress +27ms] +178 bytes
[chat-proxy][onprogress +4ms] +92 bytes
[chat-proxy][onprogress +17ms] +87 bytes
[chat-proxy][onprogress +0ms] +90 bytes
[chat-proxy][onprogress +15ms] +89 bytes
[chat-proxy][onprogress +385ms] +93 bytes
[chat-proxy][onprogress +9ms] +88 bytes
[chat-proxy][onprogress +361ms] +88 bytes
[chat-proxy][onprogress +1ms] +89 bytes
[chat-proxy][onprogress +0ms] +89 bytes
[chat-proxy][onprogress +0ms] +88 bytes
[chat-proxy][onprogress +67ms] +88 bytes
[chat-proxy][onprogress +100ms] +89 bytes
[chat-proxy][onprogress +184ms] +92 bytes
[chat-proxy][onprogress +635ms] +358 bytes
[chat-proxy][onprogress +1ms] +177 bytes
[chat-proxy][onprogress +72ms] +89 bytes
[chat-proxy][onprogress +78ms] +86 bytes
[chat-proxy][onprogress +99ms] +85 bytes
[chat-proxy][onprogress +78ms] +174 bytes
[chat-proxy][onprogress +49ms] +85 bytes
[chat-proxy][onprogress +78ms] +87 bytes
[chat-proxy][onprogress +59ms] +85 bytes
[chat-proxy][onprogress +121ms] +84 bytes
[chat-proxy][onprogress +119ms] +86 bytes
[chat-proxy][onprogress +103ms] +86 bytes
[chat-proxy][onprogress +109ms] +89 bytes
[chat-proxy][onprogress +87ms] +86 bytes
[chat-proxy][onprogress +117ms] +88 bytes
[chat-proxy][onprogress +115ms] +172 bytes
[chat-proxy][onprogress +95ms] +88 bytes
[chat-proxy][onprogress +822ms] +158 bytes
[chat-proxy][onprogress +1ms] +80 bytes
[chat-proxy][onprogress +0ms] +70 bytes
[chat-proxy] /v1_chat done in 23519ms, upstream status=200
